"source","target","value","size"
"extracellular matrix organization","COL1A2",18.19,"10"
"extracellular matrix organization","LAMB1",18.19,"10"
"extracellular matrix organization","COL6A5",18.19,"10"
"extracellular matrix organization","COL12A1",18.19,"10"
"extracellular matrix organization","CLASP1",18.19,"10"
"extracellular matrix organization","QSOX1",18.19,"10"
"extracellular matrix organization","ADAM10",18.19,"10"
"extracellular matrix organization","CST3",18.19,"10"
"extracellular matrix organization","COL1A1",18.19,"10"
"extracellular matrix organization","APP",18.19,"10"
"extracellular matrix organization","COL5A2",18.19,"10"
"extracellular matrix organization","MMP2",18.19,"10"
"extracellular matrix organization","COL4A2",18.19,"10"
"extracellular matrix organization","LAMC1",18.19,"10"
"extracellular matrix organization","COL11A1",18.19,"10"
"extracellular matrix organization","B4GALT1",18.19,"10"
"extracellular matrix organization","COL5A1",18.19,"10"
"extracellular matrix organization","LOX",18.19,"10"
"extracellular matrix organization","LUM",18.19,"10"
"extracellular matrix organization","NID2",18.19,"10"
"extracellular matrix organization","DAG1",18.19,"10"
"extracellular matrix organization","TGFBI",18.19,"10"
"extracellular matrix organization","EXT1",18.19,"10"
"extracellular matrix organization","OLFML2B",18.19,"10"
"extracellular matrix organization","PXDN",18.19,"10"
"extracellular matrix organization","SFRP2",18.19,"10"
"extracellular structure organization","COL1A2",18.15,"10"
"extracellular structure organization","LAMB1",18.15,"10"
"extracellular structure organization","COL6A5",18.15,"10"
"extracellular structure organization","COL12A1",18.15,"10"
"extracellular structure organization","CLASP1",18.15,"10"
"extracellular structure organization","QSOX1",18.15,"10"
"extracellular structure organization","ADAM10",18.15,"10"
"extracellular structure organization","CST3",18.15,"10"
"extracellular structure organization","COL1A1",18.15,"10"
"extracellular structure organization","APP",18.15,"10"
"extracellular structure organization","COL5A2",18.15,"10"
"extracellular structure organization","MMP2",18.15,"10"
"extracellular structure organization","COL4A2",18.15,"10"
"extracellular structure organization","LAMC1",18.15,"10"
"extracellular structure organization","COL11A1",18.15,"10"
"extracellular structure organization","B4GALT1",18.15,"10"
"extracellular structure organization","COL5A1",18.15,"10"
"extracellular structure organization","LOX",18.15,"10"
"extracellular structure organization","LUM",18.15,"10"
"extracellular structure organization","NID2",18.15,"10"
"extracellular structure organization","DAG1",18.15,"10"
"extracellular structure organization","TGFBI",18.15,"10"
"extracellular structure organization","EXT1",18.15,"10"
"extracellular structure organization","OLFML2B",18.15,"10"
"extracellular structure organization","PXDN",18.15,"10"
"extracellular structure organization","SFRP2",18.15,"10"
"external encapsulating structure organization","COL1A2",18.09,"10"
"external encapsulating structure organization","LAMB1",18.09,"10"
"external encapsulating structure organization","COL6A5",18.09,"10"
"external encapsulating structure organization","COL12A1",18.09,"10"
"external encapsulating structure organization","CLASP1",18.09,"10"
"external encapsulating structure organization","QSOX1",18.09,"10"
"external encapsulating structure organization","ADAM10",18.09,"10"
"external encapsulating structure organization","CST3",18.09,"10"
"external encapsulating structure organization","COL1A1",18.09,"10"
"external encapsulating structure organization","APP",18.09,"10"
"external encapsulating structure organization","COL5A2",18.09,"10"
"external encapsulating structure organization","MMP2",18.09,"10"
"external encapsulating structure organization","COL4A2",18.09,"10"
"external encapsulating structure organization","LAMC1",18.09,"10"
"external encapsulating structure organization","COL11A1",18.09,"10"
"external encapsulating structure organization","B4GALT1",18.09,"10"
"external encapsulating structure organization","COL5A1",18.09,"10"
"external encapsulating structure organization","LOX",18.09,"10"
"external encapsulating structure organization","LUM",18.09,"10"
"external encapsulating structure organization","NID2",18.09,"10"
"external encapsulating structure organization","DAG1",18.09,"10"
"external encapsulating structure organization","TGFBI",18.09,"10"
"external encapsulating structure organization","EXT1",18.09,"10"
"external encapsulating structure organization","OLFML2B",18.09,"10"
"external encapsulating structure organization","PXDN",18.09,"10"
"external encapsulating structure organization","SFRP2",18.09,"10"
"membrane lipid catabolic process","ASAH1",10.92,"10"
"membrane lipid catabolic process","PPT1",10.92,"10"
"membrane lipid catabolic process","GLA",10.92,"10"
"membrane lipid catabolic process","ENPP2",10.92,"10"
"membrane lipid catabolic process","HEXA",10.92,"10"
"membrane lipid catabolic process","FUCA1",10.92,"10"
"membrane lipid catabolic process","HEXB",10.92,"10"
"membrane lipid catabolic process","GM2A",10.92,"10"
"membrane lipid catabolic process","NEU1",10.92,"10"
"endoderm development","LAMB1",8.88,"10"
"endoderm development","COL12A1",8.88,"10"
"endoderm development","COL5A2",8.88,"10"
"endoderm development","MMP2",8.88,"10"
"endoderm development","COL4A2",8.88,"10"
"endoderm development","LAMC1",8.88,"10"
"endoderm development","COL11A1",8.88,"10"
"endoderm development","COL6A1",8.88,"10"
"endoderm development","COL5A1",8.88,"10"
"endoderm development","EXT1",8.88,"10"
"regulation of synapse structure or activity","PPT1",8.63,"10"
"regulation of synapse structure or activity","THBS2",8.63,"10"
"regulation of synapse structure or activity","PRNP",8.63,"10"
"regulation of synapse structure or activity","NRP2",8.63,"10"
"regulation of synapse structure or activity","SRPX2",8.63,"10"
"regulation of synapse structure or activity","GPC4",8.63,"10"
"regulation of synapse structure or activity","CLSTN1",8.63,"10"
"regulation of synapse structure or activity","SLITRK5",8.63,"10"
"regulation of synapse structure or activity","APP",8.63,"10"
"regulation of synapse structure or activity","CDH2",8.63,"10"
"regulation of synapse structure or activity","PTPRD",8.63,"10"
"regulation of synapse structure or activity","DAG1",8.63,"10"
"regulation of synapse structure or activity","CLSTN2",8.63,"10"
"regulation of synapse structure or activity","IL1RAP",8.63,"10"
"ameboidal-type cell migration","ROBO1",8.5,"10"
"ameboidal-type cell migration","CTSH",8.5,"10"
"ameboidal-type cell migration","ADAM9",8.5,"10"
"ameboidal-type cell migration","PTPRM",8.5,"10"
"ameboidal-type cell migration","ENPP2",8.5,"10"
"ameboidal-type cell migration","NRP1",8.5,"10"
"ameboidal-type cell migration","PRCP",8.5,"10"
"ameboidal-type cell migration","CLASP1",8.5,"10"
"ameboidal-type cell migration","NRP2",8.5,"10"
"ameboidal-type cell migration","SRPX2",8.5,"10"
"ameboidal-type cell migration","TIMP1",8.5,"10"
"ameboidal-type cell migration","DCN",8.5,"10"
"ameboidal-type cell migration","THBS1",8.5,"10"
"ameboidal-type cell migration","SCG2",8.5,"10"
"ameboidal-type cell migration","CDH2",8.5,"10"
"ameboidal-type cell migration","PTPRG",8.5,"10"
"ameboidal-type cell migration","GRN",8.5,"10"
"ameboidal-type cell migration","AKAP12",8.5,"10"
"ameboidal-type cell migration","FSTL1",8.5,"10"
"ameboidal-type cell migration","LGMN",8.5,"10"
"endodermal cell differentiation","LAMB1",8.28,"10"
"endodermal cell differentiation","COL12A1",8.28,"10"
"endodermal cell differentiation","COL5A2",8.28,"10"
"endodermal cell differentiation","MMP2",8.28,"10"
"endodermal cell differentiation","COL4A2",8.28,"10"
"endodermal cell differentiation","COL11A1",8.28,"10"
"endodermal cell differentiation","COL6A1",8.28,"10"
"endodermal cell differentiation","COL5A1",8.28,"10"
"epithelium migration","ROBO1",8.08,"10"
"epithelium migration","CTSH",8.08,"10"
"epithelium migration","ADAM9",8.08,"10"
"epithelium migration","PTPRM",8.08,"10"
"epithelium migration","ENPP2",8.08,"10"
"epithelium migration","NRP1",8.08,"10"
"epithelium migration","PRCP",8.08,"10"
"epithelium migration","CLASP1",8.08,"10"
"epithelium migration","NRP2",8.08,"10"
"epithelium migration","SRPX2",8.08,"10"
"epithelium migration","DCN",8.08,"10"
"epithelium migration","THBS1",8.08,"10"
"epithelium migration","SCG2",8.08,"10"
"epithelium migration","PTPRG",8.08,"10"
"epithelium migration","GRN",8.08,"10"
"epithelium migration","FSTL1",8.08,"10"
"epithelium migration","LGMN",8.08,"10"
"synapse organization","THBS2",7.85,"10"
"synapse organization","CHRDL1",7.85,"10"
"synapse organization","SDF4",7.85,"10"
"synapse organization","PRNP",7.85,"10"
"synapse organization","NRP1",7.85,"10"
"synapse organization","ADAM10",7.85,"10"
"synapse organization","NRP2",7.85,"10"
"synapse organization","SRPX2",7.85,"10"
"synapse organization","GPC4",7.85,"10"
"synapse organization","CLSTN1",7.85,"10"
"synapse organization","SLITRK5",7.85,"10"
"synapse organization","APP",7.85,"10"
"synapse organization","CDH2",7.85,"10"
"synapse organization","PTPRD",7.85,"10"
"synapse organization","DAG1",7.85,"10"
"synapse organization","LGMN",7.85,"10"
"synapse organization","CLSTN2",7.85,"10"
"synapse organization","IL1RAP",7.85,"10"
"regulation of synapse organization","THBS2",7.81,"10"
"regulation of synapse organization","PRNP",7.81,"10"
"regulation of synapse organization","NRP2",7.81,"10"
"regulation of synapse organization","SRPX2",7.81,"10"
"regulation of synapse organization","GPC4",7.81,"10"
"regulation of synapse organization","CLSTN1",7.81,"10"
"regulation of synapse organization","SLITRK5",7.81,"10"
"regulation of synapse organization","APP",7.81,"10"
"regulation of synapse organization","CDH2",7.81,"10"
"regulation of synapse organization","PTPRD",7.81,"10"
"regulation of synapse organization","DAG1",7.81,"10"
"regulation of synapse organization","CLSTN2",7.81,"10"
"regulation of synapse organization","IL1RAP",7.81,"10"
"carbohydrate derivative catabolic process","GLA",7.69,"10"
"carbohydrate derivative catabolic process","CTSL",7.69,"10"
"carbohydrate derivative catabolic process","HEXA",7.69,"10"
"carbohydrate derivative catabolic process","MANBA",7.69,"10"
"carbohydrate derivative catabolic process","CST3",7.69,"10"
"carbohydrate derivative catabolic process","FUCA1",7.69,"10"
"carbohydrate derivative catabolic process","HEXB",7.69,"10"
"carbohydrate derivative catabolic process","GNS",7.69,"10"
"carbohydrate derivative catabolic process","GLB1",7.69,"10"
"carbohydrate derivative catabolic process","GM2A",7.69,"10"
"carbohydrate derivative catabolic process","NEU1",7.69,"10"
"carbohydrate derivative catabolic process","FUCA2",7.69,"10"
"glycosaminoglycan metabolic process","HEXA",7.21,"10"
"glycosaminoglycan metabolic process","HS3ST1",7.21,"10"
"glycosaminoglycan metabolic process","FUCA1",7.21,"10"
"glycosaminoglycan metabolic process","DCN",7.21,"10"
"glycosaminoglycan metabolic process","HEXB",7.21,"10"
"glycosaminoglycan metabolic process","GNS",7.21,"10"
"glycosaminoglycan metabolic process","GLB1",7.21,"10"
"glycosaminoglycan metabolic process","NDST1",7.21,"10"
"glycosaminoglycan metabolic process","EXT1",7.21,"10"
"glycosaminoglycan metabolic process","GALNT5",7.21,"10"
"regulation of cell junction assembly","THBS2",6.98,"10"
"regulation of cell junction assembly","NRP1",6.98,"10"
"regulation of cell junction assembly","CLASP1",6.98,"10"
"regulation of cell junction assembly","SRPX2",6.98,"10"
"regulation of cell junction assembly","GPC4",6.98,"10"
"regulation of cell junction assembly","CLSTN1",6.98,"10"
"regulation of cell junction assembly","SLITRK5",6.98,"10"
"regulation of cell junction assembly","APP",6.98,"10"
"regulation of cell junction assembly","THBS1",6.98,"10"
"regulation of cell junction assembly","PTPRD",6.98,"10"
"regulation of cell junction assembly","CLSTN2",6.98,"10"
"regulation of cell junction assembly","IL1RAP",6.98,"10"
"regulation of epithelial cell migration","CTSH",6.95,"10"
"regulation of epithelial cell migration","ADAM9",6.95,"10"
"regulation of epithelial cell migration","PTPRM",6.95,"10"
"regulation of epithelial cell migration","ENPP2",6.95,"10"
"regulation of epithelial cell migration","NRP1",6.95,"10"
"regulation of epithelial cell migration","PRCP",6.95,"10"
"regulation of epithelial cell migration","CLASP1",6.95,"10"
"regulation of epithelial cell migration","NRP2",6.95,"10"
"regulation of epithelial cell migration","SRPX2",6.95,"10"
"regulation of epithelial cell migration","DCN",6.95,"10"
"regulation of epithelial cell migration","THBS1",6.95,"10"
"regulation of epithelial cell migration","PTPRG",6.95,"10"
"regulation of epithelial cell migration","GRN",6.95,"10"
"regulation of epithelial cell migration","LGMN",6.95,"10"
"negative regulation of endopeptidase activity","C4A",6.85,"10"
"negative regulation of endopeptidase activity","PRNP",6.85,"10"
"negative regulation of endopeptidase activity","SERPINB7",6.85,"10"
"negative regulation of endopeptidase activity","TIMP1",6.85,"10"
"negative regulation of endopeptidase activity","CST3",6.85,"10"
"negative regulation of endopeptidase activity","APP",6.85,"10"
"negative regulation of endopeptidase activity","SERPINE2",6.85,"10"
"negative regulation of endopeptidase activity","THBS1",6.85,"10"
"negative regulation of endopeptidase activity","TIMP2",6.85,"10"
"negative regulation of endopeptidase activity","SPOCK1",6.85,"10"
"negative regulation of endopeptidase activity","CD109",6.85,"10"
"negative regulation of endopeptidase activity","SFRP2",6.85,"10"
"negative regulation of endopeptidase activity","SERPINI1",6.85,"10"
"regulation of synapse assembly","THBS2",6.77,"10"
"regulation of synapse assembly","SRPX2",6.77,"10"
"regulation of synapse assembly","GPC4",6.77,"10"
"regulation of synapse assembly","CLSTN1",6.77,"10"
"regulation of synapse assembly","SLITRK5",6.77,"10"
"regulation of synapse assembly","APP",6.77,"10"
"regulation of synapse assembly","PTPRD",6.77,"10"
"regulation of synapse assembly","CLSTN2",6.77,"10"
"regulation of synapse assembly","IL1RAP",6.77,"10"
"regulation of peptidase activity","ROBO1",6.71,"10"
"regulation of peptidase activity","CTSH",6.71,"10"
"regulation of peptidase activity","C4A",6.71,"10"
"regulation of peptidase activity","PRNP",6.71,"10"
"regulation of peptidase activity","SERPINB7",6.71,"10"
"regulation of peptidase activity","TIMP1",6.71,"10"
"regulation of peptidase activity","CST3",6.71,"10"
"regulation of peptidase activity","APP",6.71,"10"
"regulation of peptidase activity","SERPINE2",6.71,"10"
"regulation of peptidase activity","THBS1",6.71,"10"
"regulation of peptidase activity","TIMP2",6.71,"10"
"regulation of peptidase activity","GRN",6.71,"10"
"regulation of peptidase activity","SPOCK1",6.71,"10"
"regulation of peptidase activity","CD109",6.71,"10"
"regulation of peptidase activity","SFRP2",6.71,"10"
"regulation of peptidase activity","LGMN",6.71,"10"
"regulation of peptidase activity","SERPINI1",6.71,"10"
"lysosome organization","ATP6AP2",5.89,"10"
"lysosome organization","PPT1",5.89,"10"
"lysosome organization","ATP6AP1",5.89,"10"
"lysosome organization","TPP1",5.89,"10"
"lysosome organization","HEXA",5.89,"10"
"lysosome organization","HEXB",5.89,"10"
"lysosome organization","GRN",5.89,"10"
"lysosome organization","SRPX",5.89,"10"
"lytic vacuole organization","ATP6AP2",5.89,"10"
"lytic vacuole organization","PPT1",5.89,"10"
"lytic vacuole organization","ATP6AP1",5.89,"10"
"lytic vacuole organization","TPP1",5.89,"10"
"lytic vacuole organization","HEXA",5.89,"10"
"lytic vacuole organization","HEXB",5.89,"10"
"lytic vacuole organization","GRN",5.89,"10"
"lytic vacuole organization","SRPX",5.89,"10"
"epithelial cell proliferation","ROBO1",5.73,"10"
"epithelial cell proliferation","LIPA",5.73,"10"
"epithelial cell proliferation","LAMB1",5.73,"10"
"epithelial cell proliferation","PTPRM",5.73,"10"
"epithelial cell proliferation","NRP1",5.73,"10"
"epithelial cell proliferation","NRP2",5.73,"10"
"epithelial cell proliferation","THBS1",5.73,"10"
"epithelial cell proliferation","LAMC1",5.73,"10"
"epithelial cell proliferation","SCG2",5.73,"10"
"epithelial cell proliferation","B4GALT1",5.73,"10"
"epithelial cell proliferation","IGFBP4",5.73,"10"
"epithelial cell proliferation","IGFBP5",5.73,"10"
"epithelial cell proliferation","GRN",5.73,"10"
"epithelial cell proliferation","CD109",5.73,"10"
"epithelial cell proliferation","HTRA1",5.73,"10"
"epithelial cell proliferation","SFRP2",5.73,"10"
"regulation of transforming growth factor beta1 production","ATP6AP2",5.71,"10"
"regulation of transforming growth factor beta1 production","SERPINB7",5.71,"10"
"regulation of transforming growth factor beta1 production","THBS1",5.71,"10"
"regulation of transforming growth factor beta1 production","LUM",5.71,"10"
"ossification","COL1A2",5.66,"10"
"ossification","CHRDL1",5.66,"10"
"ossification","COL1A1",5.66,"10"
"ossification","COL5A2",5.66,"10"
"ossification","MMP2",5.66,"10"
"ossification","CSF1",5.66,"10"
"ossification","COL11A1",5.66,"10"
"ossification","COL6A1",5.66,"10"
"ossification","VCAN",5.66,"10"
"ossification","IGFBP5",5.66,"10"
"ossification","LOX",5.66,"10"
"ossification","CDH11",5.66,"10"
"ossification","EXT1",5.66,"10"
"ossification","SFRP2",5.66,"10"
"ossification","CLEC11A",5.66,"10"
"cell junction assembly","THBS2",5.65,"10"
"cell junction assembly","NRP1",5.65,"10"
"cell junction assembly","CLASP1",5.65,"10"
"cell junction assembly","SRPX2",5.65,"10"
"cell junction assembly","GPC4",5.65,"10"
"cell junction assembly","CLSTN1",5.65,"10"
"cell junction assembly","SLITRK5",5.65,"10"
"cell junction assembly","APP",5.65,"10"
"cell junction assembly","THBS1",5.65,"10"
"cell junction assembly","LAMC1",5.65,"10"
"cell junction assembly","CDH2",5.65,"10"
"cell junction assembly","PTPRD",5.65,"10"
"cell junction assembly","CDH11",5.65,"10"
"cell junction assembly","CLSTN2",5.65,"10"
"cell junction assembly","IL1RAP",5.65,"10"
"response to retinoic acid","CTSH",5.56,"10"
"response to retinoic acid","COL1A1",5.56,"10"
"response to retinoic acid","RBP4",5.56,"10"
"response to retinoic acid","TFRC",5.56,"10"
"response to retinoic acid","MMP2",5.56,"10"
"response to retinoic acid","IGFBP2",5.56,"10"
"response to retinoic acid","PTK7",5.56,"10"
"response to retinoic acid","IGFBP7",5.56,"10"
"positive regulation of nervous system development","ROBO1",5.53,"10"
"positive regulation of nervous system development","THBS2",5.53,"10"
"positive regulation of nervous system development","NRP1",5.53,"10"
"positive regulation of nervous system development","SRPX2",5.53,"10"
"positive regulation of nervous system development","CLSTN1",5.53,"10"
"positive regulation of nervous system development","SLITRK5",5.53,"10"
"positive regulation of nervous system development","SERPINE2",5.53,"10"
"positive regulation of nervous system development","PTPRD",5.53,"10"
"positive regulation of nervous system development","DAG1",5.53,"10"
"positive regulation of nervous system development","MAN2A1",5.53,"10"
"positive regulation of nervous system development","CLSTN2",5.53,"10"
"positive regulation of nervous system development","IL1RAP",5.53,"10"
"oligosaccharide catabolic process","MANBA",5.41,"10"
"oligosaccharide catabolic process","HEXB",5.41,"10"
"oligosaccharide catabolic process","GM2A",5.41,"10"
"oligosaccharide catabolic process","NEU1",5.41,"10"
"glycosaminoglycan catabolic process","HEXA",5.4,"10"
"glycosaminoglycan catabolic process","FUCA1",5.4,"10"
"glycosaminoglycan catabolic process","HEXB",5.4,"10"
"glycosaminoglycan catabolic process","GNS",5.4,"10"
"glycosaminoglycan catabolic process","GLB1",5.4,"10"
"transforming growth factor beta1 production","ATP6AP2",5.28,"10"
"transforming growth factor beta1 production","SERPINB7",5.28,"10"
"transforming growth factor beta1 production","THBS1",5.28,"10"
"transforming growth factor beta1 production","LUM",5.28,"10"
"membrane protein proteolysis","CTSH",5.14,"10"
